Keith Johnson;Designer, exhibition/display;Food technologist
Alexandra Parker;Product/process development scientist;Materials engineer
John Wilson;Market researcher;Pharmacist, community
Henry Brown;Warehouse manager;Solicitor
Rebecca Barnes;Patent attorney;Physiotherapist
Jose Vaughn;Clinical molecular geneticist;Sport and exercise psychologist
Kara Hogan;Horticultural therapist;Multimedia programmer
Andre Garcia;Barrister;Jewellery designer
Theresa Benton;Conservator, museum/gallery;Proofreader
Dr. Rachel Meyer DVM;Editor, commissioning;Lecturer, higher education
Riley Mcclure;Financial planner;Regulatory affairs officer
Gerald Carter;Research scientist (maths);Electrical engineer
Julie Klein;English as a foreign language teacher;Embryologist, clinical
Sandra Sweeney;Location manager;Systems analyst
Tammy Lawrence;Designer, multimedia;Holiday representative
Timothy Butler;Medical technical officer;Barista
Mary Hanson;Database administrator;Telecommunications researcher
Olivia Sexton;Restaurant manager;Immunologist
Shane Lopez;Firefighter;Designer, exhibition/display
Pamela Burton;Programme researcher, broadcasting/film/video;Field trials officer
Paula Lang;Naval architect;Clinical biochemist
Stephen Hawkins;Designer, ceramics/pottery;Therapeutic radiographer
Ann Chapman;Designer, industrial/product;Advertising account executive
Andrew Lucas;Barrister's clerk;Surveyor, quantity
April Acosta;Comptroller;Statistician
Robert Clayton;Event organiser;Chartered legal executive (England and Wales)
Robert Greer;Education officer, community;English as a foreign language teacher
Mark Ward;Professor Emeritus;Psychiatric nurse
Allison Page;Mining engineer;Nurse, mental health
Mrs. Christine Potter;Scientist, research (physical sciences);Science writer
Kevin Pena;Nutritional therapist;Scientist, research (life sciences)
Samantha Allen;Barrister's clerk;Metallurgist
Martin Mcclure;Chief Strategy Officer;Customer service manager
Christina Yang;Editor, magazine features;Garment/textile technologist
Larry Brooks;Licensed conveyancer;Chartered loss adjuster
Brenda Wolf;Therapist, occupational;Journalist, newspaper
Katherine Rodgers;Careers information officer;Probation officer
Daniel Adams;Producer, radio;Ecologist
Erika Haley;Psychologist, occupational;Police officer
Melissa Robinson;Microbiologist;Actor
Andrea Bridges;Legal secretary;Engineer, agricultural
John Leach;Osteopath;Primary school teacher
Robert Moore;Programme researcher, broadcasting/film/video;Nurse, children's
Christian Anderson;Arboriculturist;Technical author
Michael Reed;Engineer, materials;Recycling officer
Valerie Hunt;Data scientist;Orthoptist
Elizabeth Terry;Private music teacher;Haematologist
Jennifer Davis;Hotel manager;Legal secretary
Dr. Jamie Huffman;Control and instrumentation engineer;Animator
Jane Dixon;Waste management officer;Pensions consultant
Diana Jacobs;Surveyor, planning and development;Minerals surveyor
Kayla Castillo;Equities trader;Plant breeder/geneticist
Nicholas Thompson;Cabin crew;Research scientist (medical)
Michael David;Firefighter;Clinical research associate
Richard Solis;Site engineer;Education officer, environmental
Leah Smith;Materials engineer;Teacher, music
Randall Kelly;Ranger/warden;Careers adviser
Scott Rogers;Armed forces logistics/support/administrative officer;Administrator, arts
Mrs. Sarah Salazar;Product manager;Curator
Connie Taylor;Surveyor, minerals;Quantity surveyor
Crystal Lawson;Communications engineer;Television floor manager
Mary Schaefer;Scientist, research (medical);Tourism officer
Paige Brooks;Advertising art director;Cabin crew
Christina Allen;Information officer;Travel agency manager
Stefanie Johnson;Youth worker;Engineer, electronics
Angela Combs;Surveyor, rural practice;Communications engineer
Jennifer Shaw;Charity fundraiser;Lecturer, further education
Ronald Baker;Teacher, secondary school;Therapist, speech and language
Gary Merritt;Furniture designer;Therapist, drama
Tiffany Moses;Surveyor, hydrographic;Print production planner
Joseph Carter;Insurance broker;Advertising account planner
Sharon Woods;Insurance account manager;Exercise physiologist
William Pacheco;Administrator, arts;Sports administrator
David Adams;Best boy;Adult guidance worker
Steven Martinez;Designer, industrial/product;Dance movement psychotherapist
Mrs. Morgan Washington;Accounting technician;Architect
John Morales;Theatre manager;Rural practice surveyor
Antonio Young;Garment/textile technologist;Engineer, maintenance
Stephanie Harrison;Financial controller;Garment/textile technologist
Steven Alexander;Writer;Midwife
James Smith;Neurosurgeon;Chief of Staff
Steven Crosby;Control and instrumentation engineer;Clinical psychologist
Mitchell Sloan;Journalist, broadcasting;Teacher, adult education
Michael Farley;Sports administrator;Designer, television/film set
Lisa Carrillo;Cartographer;Designer, interior/spatial
Tina Potts;Armed forces training and education officer;Investment analyst
Amy Velez;Visual merchandiser;Theatre stage manager
Lisa Collins;Barista;Contractor
Vanessa Davis;Chiropractor;Scientist, clinical (histocompatibility and immunogenetics)
Patricia Cox;Mining engineer;Nurse, adult
Stephen Flores;Economist;Secretary, company
James Lopez;Surgeon;Petroleum engineer
Michael White;Scientist, research (physical sciences);Secretary, company
Daniel Rice;Cytogeneticist;Programmer, multimedia
Kathryn Miranda;Purchasing manager;Exercise physiologist
Christopher Thornton;Land;Passenger transport manager
Jessica Harris;Banker;Geologist, wellsite
Philip Andrews;Catering manager;Designer, jewellery
Carla Chavez;Financial risk analyst;Water quality scientist
Darren Hicks;Education administrator;Investment analyst
Shannon Farley;Production designer, theatre/television/film;Engineer, petroleum
Michelle Bell;Fashion designer;Adult guidance worker
Elizabeth Johnson;Metallurgist;Associate Professor
Karen Wright;Pharmacist, hospital;Secondary school teacher
Donna Taylor;Film/video editor;Firefighter
Betty Ray;Copywriter, advertising;Psychologist, clinical
Jorge Shelton;Teacher, English as a foreign language;Engineer, maintenance (IT)
Wesley Strickland;Brewing technologist;Ambulance person
Lorraine Padilla;Heritage manager;Data scientist
Debra Barnes;Stage manager;Diplomatic Services operational officer
Jennifer Mora;Biochemist, clinical;Civil Service administrator
Wayne Morgan;Metallurgist;Commercial horticulturist
Leslie Daugherty;Broadcast journalist;Research scientist (maths)
Julian Travis;Quarry manager;Neurosurgeon
Michael Gonzalez;Scientist, research (medical);Horticultural therapist
Joel Smith;Barrister;Journalist, magazine
Karen Morrison;Aeronautical engineer;Scientist, audiological
Mrs. Julia Morrison;Clinical biochemist;Engineer, automotive
Robert Hall;Graphic designer;Gaffer
Karen Soto;Contractor;Technical sales engineer
Tyler Nelson;Scientific laboratory technician;Heritage manager
Stacy Smith;Volunteer coordinator;Television floor manager
Amanda Stewart;Human resources officer;Travel agency manager
Kelly Taylor;Neurosurgeon;Social worker
Kenneth Perez;Geoscientist;Clinical psychologist
Erin Martin;Chemist, analytical;Scientist, marine
Cesar Wallace;Adult guidance worker;Secretary/administrator
Joan Gonzalez;Pensions consultant;Exhibitions officer, museum/gallery
Angela Yang;Research officer, government;Materials engineer
Cheryl Moore;Aid worker;Chartered management accountant
Sophia Brown;Product designer;Economist
Douglas Mosley;Scientist, research (medical);Loss adjuster, chartered
Kristen Lopez;Historic buildings inspector/conservation officer;Archivist
Krystal Rowland;Government social research officer;Investment banker, corporate
Brian Curtis;Pharmacist, community;Fashion designer
Denise Friedman;Surveyor, planning and development;Lawyer
John Stephens;Chief Financial Officer;Editor, magazine features
Kayla Garcia;Mudlogger;Research scientist (maths)
Richard Bell;Chartered legal executive (England and Wales);Retail banker
David Rodriguez;Psychologist, counselling;Engineer, drilling
Antonio Miranda;Research scientist (maths);Animator
Paul Hill;Editor, commissioning;Electrical engineer
Kristen Davila;Armed forces technical officer;Comptroller
Bernard Watkins;Associate Professor;Therapist, occupational
Logan Smith;Ophthalmologist;Government social research officer
Nicholas Hill;Special educational needs teacher;Probation officer
Dr. Matthew Edwards;Television camera operator;Licensed conveyancer
Monica Clark;Commercial art gallery manager;Teacher, secondary school
Scott Murphy;Teacher, adult education;Surveyor, quantity
Nathan Rice;Intelligence analyst;Radiation protection practitioner
Tiffany Hill;Psychologist, occupational;Education administrator
Dylan Delacruz;Metallurgist;Surgeon
Brandon Roberts;Sales promotion account executive;Applications developer
Danielle Rice;Fine artist;Amenity horticulturist
Devin Pena;Museum/gallery curator;Senior tax professional/tax inspector
Ashley Taylor;Chiropractor;Dancer
Edward Johnson;Chartered accountant;Media buyer
Matthew Gonzalez;Education officer, museum;Designer, exhibition/display
Kathleen Francis;Education officer, environmental;Conservation officer, nature
Christopher Johnson;Designer, exhibition/display;Retail buyer
Christopher Lewis;Insurance account manager;Banker
Donald Petersen;Financial controller;Sound technician, broadcasting/film/video
Alvin Anderson;Press sub;Advertising copywriter
Sylvia Robertson;Customer service manager;Rural practice surveyor
Mark Kidd;Engineer, maintenance (IT);Fish farm manager
Amanda Lee;English as a second language teacher;Musician
Teresa Sanchez;Futures trader;Diplomatic Services operational officer
Richard Howell;Toxicologist;Lawyer
Katherine Hayes;Environmental consultant;Scientist, clinical (histocompatibility and immunogenetics)
Gregory White;Surveyor, building control;Veterinary surgeon
Rachel Martinez;Operations geologist;Government social research officer
Todd Harrison;Chemist, analytical;Radiographer, therapeutic
Jacob Alexander;Physiological scientist;Museum/gallery exhibitions officer
Dr. Susan Shaw;Engineering geologist;Teacher, special educational needs
Susan Martinez;Ship broker;Seismic interpreter
Christine Moody;Comptroller;Teaching laboratory technician
David Livingston;Tax inspector;Medical physicist
Sharon Hall;Engineer, maintenance (IT);Dramatherapist
Danny Daugherty;Airline pilot;Health and safety adviser
Laura Richardson;Programmer, multimedia;Operational researcher
Mark Smith;Analytical chemist;Homeopath
Ian Craig;Surveyor, building;Sales executive
Stacey Smith;Teaching laboratory technician;IT sales professional
Emily Lewis;Designer, television/film set;Building control surveyor
Amanda Barton;Land/geomatics surveyor;Food technologist
James Moreno;Sales executive;Chief Executive Officer
Raymond Christian;Lobbyist;Chartered legal executive (England and Wales)
Greg Hernandez;Video editor;Research officer, government
Melanie Wolfe;Administrator, education;Speech and language therapist
Sharon Hopkins;Engineer, electronics;Cartographer
Kevin Perez;Production designer, theatre/television/film;Sports development officer
Melinda Banks;Financial trader;Journalist, magazine
Adam Robinson;Editorial assistant;Sports development officer
Brian Thornton;Health and safety adviser;Physiotherapist
Amanda Moore;Podiatrist;Psychologist, sport and exercise
Alexis Wilcox;Regulatory affairs officer;Garment/textile technologist
Heather Newton;Psychologist, clinical;Animal nutritionist
Mrs. Elizabeth Edwards;Colour technologist;Set designer
Donna Jordan;Broadcast presenter;Professor Emeritus
Michele Moreno;Surveyor, building control;Museum/gallery conservator
Jimmy Burnett;Psychologist, forensic;Marketing executive
Christina Blake;Engineer, manufacturing;Ambulance person
Stacey Drake;Control and instrumentation engineer;Paramedic
Jerry Barnes;Accommodation manager;Civil Service administrator
Gabriela Weaver;Advertising account planner;Optician, dispensing
Steven Ellis;Illustrator;Diagnostic radiographer
Matthew Foster;Heritage manager;Careers information officer
Patricia Rivera;IT technical support officer;Set designer
Monica Smith;Agricultural engineer;Patent attorney
Sue Greene DVM;Pilot, airline;Herpetologist
Alicia Mendoza;Occupational psychologist;Conservation officer, historic buildings
Jerry Gray;Biochemist, clinical;Engineer, electrical
Allison Mitchell;Arts administrator;Information systems manager
Caitlin Nelson;Translator;Rural practice surveyor
Brian Johnson;Risk manager;Designer, ceramics/pottery
Tiffany Wu;Production assistant, radio;Chief Strategy Officer
Jonathan Gardner;Health and safety inspector;Television floor manager
Christine Cameron;Water engineer;Geologist, wellsite
Miss Christine Miller PhD;Paramedic;Administrator, arts
Nathan Wood;Journalist, magazine;Tree surgeon
Kristin Freeman;Research officer, trade union;Air cabin crew
Bradley Patterson;Insurance account manager;Animal nutritionist
Tracy Mckenzie;Ranger/warden;Historic buildings inspector/conservation officer
Phillip Sanchez;Insurance claims handler;Doctor, general practice
Victor Castillo;Nurse, adult;Journalist, newspaper
Karina Miller DVM;Information systems manager;Librarian, public
William Knight;Location manager;Marine scientist
Thomas Phillips;Engineer, civil (consulting);Air broker
Matthew Pearson;Education officer, environmental;Financial risk analyst
Elizabeth Floyd;Museum/gallery conservator;Buyer, retail
Lorraine Perkins;Learning disability nurse;Designer, interior/spatial
James Huffman;Surveyor, quantity;Magazine features editor
Krista Michael;Biomedical engineer;Clinical research associate
Jessica Thomas;Farm manager;Estate manager/land agent
Mia Hendricks;Insurance account manager;Special effects artist
Tara Allen;Clinical cytogeneticist;Dentist
Eddie Cole;Systems developer;Games developer
Richard Key;Furniture conservator/restorer;Herpetologist
Barbara Frazier;Geneticist, molecular;Scientist, research (life sciences)
Andrew Torres;Economist;Industrial/product designer
Brandon Mclaughlin;Engineering geologist;Air cabin crew
Valerie White;Geochemist;Sales promotion account executive
Claudia Bishop;Neurosurgeon;Operations geologist
Matthew Finley;Product manager;Teacher, primary school
Andrew Coleman;Contractor;Higher education lecturer
Brian Cook;Special educational needs teacher;Cytogeneticist
Timothy Griffin;Research officer, political party;Diplomatic Services operational officer
Erica Brown;Trading standards officer;Insurance claims handler
Timothy Hudson;Professor Emeritus;Engineer, site
Shawn Greer;Radio producer;Solicitor
Michelle Perry;Private music teacher;Gaffer
Kathleen Orozco;Cartographer;Air cabin crew
Joshua Ferguson;Producer, television/film/video;Engineer, civil (contracting)
Maria Lopez;Engineer, production;Ophthalmologist
Stephanie Williams;Special effects artist;Soil scientist
Catherine Bell;Holiday representative;Professor Emeritus
Lydia Ramos;Engineer, petroleum;Clinical molecular geneticist
Christie Boyd;Ambulance person;Gaffer
David Morgan;Investment banker, operational;Paediatric nurse
Leslie Levine;Programmer, applications;Scientist, clinical (histocompatibility and immunogenetics)
Melissa Edwards;Environmental consultant;Advertising copywriter
Christina Roberson;Community development worker;Environmental education officer
Christine Cook;Automotive engineer;Conservator, museum/gallery
Raven Morris;Teacher, early years/pre;Designer, furniture
Daniel Evans;Acupuncturist;Fashion designer
Carrie Leblanc;Orthoptist;Contracting civil engineer
Brian Olsen;Paramedic;Retail manager
Alexander Diaz;Designer, fashion/clothing;Field seismologist
Amy Dunlap;Telecommunications researcher;Advertising art director
Dr. Andrea Jacobs DVM;Hydrogeologist;Geneticist, molecular
April Hall;Chemist, analytical;Broadcast journalist
Jeremy Montgomery;Environmental consultant;Orthoptist
Alan Murphy;Hydrographic surveyor;Health service manager
John Reeves;Recruitment consultant;Lighting technician, broadcasting/film/video
Katherine Hendrix;Planning and development surveyor;Primary school teacher
Dawn Hutchinson;Programme researcher, broadcasting/film/video;Legal executive
Heather West;Editorial assistant;Chartered management accountant
Sabrina Lane;Graphic designer;Educational psychologist
Connie Lawson;Clinical cytogeneticist;Librarian, academic
George Costa;Production designer, theatre/television/film;Interpreter
Aaron Allen;Medical illustrator;Medical laboratory scientific officer
Juan Grimes;Surveyor, building control;Engineer, communications
Darlene Phillips;Field seismologist;Comptroller
Chelsea Daniels;Engineer, agricultural;Trade union research officer
William Robinson;Brewing technologist;Risk manager
Tina Ortega;Advertising account planner;Multimedia specialist
Francisco Barnes;Visual merchandiser;Financial risk analyst
Troy Davis;Clothing/textile technologist;Trade mark attorney
Timothy Norris;Patent examiner;Office manager
Felicia Baker;Advertising art director;Engineer, manufacturing
Matthew Nguyen;Insurance claims handler;Colour technologist
Richard Wilcox;Sub;Retail banker
Leslie Huff;Lobbyist;Learning mentor
Beverly Lyons;Teacher, secondary school;Engineer, water
Richard Perez;Industrial/product designer;Seismic interpreter
Tammy Black;Production engineer;Charity fundraiser
David Boyd;Geologist, wellsite;Psychologist, counselling
Christopher Hobbs PhD;Dancer;Restaurant manager
Kimberly Campbell;Herpetologist;Psychologist, forensic
Maria Simmons;Dentist;Network engineer
Leslie Taylor;Lighting technician, broadcasting/film/video;Emergency planning/management officer
Randy Wright;Water engineer;Geophysical data processor
Andrea Bell;Engineer, broadcasting (operations);Production manager
Jamie Rodriguez;Fine artist;Professor Emeritus
Jessica Johnson;Chemist, analytical;Geographical information systems officer
Timothy Richardson;Management consultant;Travel agency manager
Stacey Lopez;Oncologist;Conservation officer, historic buildings
Robert Peterson;Engineer, electrical;Magazine features editor
Tanya Baker;Child psychotherapist;Ambulance person
Donald Ayala;Advertising copywriter;Facilities manager
Julie Nguyen;Land;Visual merchandiser
Nicole Ingram;Geophysicist/field seismologist;Film/video editor
Jennifer Reyes;Careers information officer;Leisure centre manager
Aaron Simon;Glass blower/designer;Industrial buyer
David Day;Counsellor;Race relations officer
Tamara Hall;Restaurant manager, fast food;Office manager
Tyler Brown;Hydrographic surveyor;Actuary
Edgar Dickerson;Scientist, research (medical);English as a second language teacher
Jackie Johnson;Chartered public finance accountant;Archaeologist
Daniel Crawford;Probation officer;Mudlogger
Mr. Ryan Boyd MD;Banker;Equities trader
Leah May;Trade union research officer;Therapist, nutritional
Franklin Orozco;Clinical psychologist;Lawyer
Isaac Bell;Lobbyist;Engineer, energy
Joshua Holt;Teacher, music;Hydrogeologist
Aaron Manning;Research scientist (physical sciences);Magazine features editor
Randy Henderson;Scientist, research (maths);Catering manager
John Adkins;Oncologist;Medical laboratory scientific officer
Kathleen Edwards;Therapist, sports;Futures trader
Cynthia Dodson;Environmental education officer;Research scientist (life sciences)
Patricia Dillon;Runner, broadcasting/film/video;Medical illustrator
Christina Johnson;Development worker, community;Museum/gallery conservator
Rick Cunningham;Physiotherapist;Community development worker
Miss Dana Mendez;Magazine features editor;Transport planner
Kevin Wiggins;Arboriculturist;Restaurant manager, fast food
Ricardo Hanson;Charity officer;Musician
Louis Knight;Psychiatric nurse;Armed forces operational officer
Sheila Pennington;Hotel manager;Public affairs consultant
James Werner;Maintenance engineer;Scientist, research (physical sciences)
Jay Taylor;Armed forces technical officer;Occupational therapist
Mr. Lee Wagner;Medical sales representative;Geneticist, molecular
Erin Charles;Data processing manager;Engineer, energy
Harry Cooley;Engineer, site;Surveyor, rural practice
David Hodge;Data processing manager;Sales professional, IT
Tom Boone;Travel agency manager;Production assistant, television
Cory Schroeder;Health service manager;Architect
Lynn Mckinney;Commercial/residential surveyor;Surveyor, building
Mallory Frank;Management consultant;Software engineer
Elizabeth Barnes;Probation officer;Theatre stage manager
Heather Perry;Phytotherapist;Production assistant, television
Katherine Miller;Copy;Futures trader
David Martinez;Financial planner;Information officer
Cindy Blake;Nurse, learning disability;Scientific laboratory technician
Rodney Delgado;Physiological scientist;Seismic interpreter
Kelly Alvarado;Homeopath;Financial planner
Ryan Perez;Surveyor, mining;Academic librarian
James Murphy;Theatre manager;Presenter, broadcasting
Amanda Morales;Psychologist, clinical;Immunologist
Teresa Hayes;Tour manager;Financial adviser
Karen Williams;Animator;Company secretary
Anita Austin;Chief Operating Officer;Tree surgeon
Robert Scott;Astronomer;Physicist, medical
Donna Murphy;Accountant, chartered certified;Engineer, site
Nicole Johnson;Barrister;Teacher, early years/pre
Lisa Taylor;Teacher, primary school;Administrator
Megan Mclaughlin;Theatre manager;Fine artist
Francisco Little;Psychotherapist;Surveyor, land/geomatics
Jonathan Robinson;Commercial horticulturist;Health physicist
Peggy Collins;Environmental manager;Radio producer
Makayla Rodriguez;Retail buyer;Furniture conservator/restorer
William Jones;Television floor manager;Engineer, technical sales
Jeffery Leach;Site engineer;Designer, exhibition/display
Ashley Preston;Logistics and distribution manager;Financial manager
Tina Brown;Administrator, arts;Historic buildings inspector/conservation officer
Karen Price;Site engineer;Dramatherapist
Danielle Robinson;Insurance account manager;Writer
Jeffery Mccoy;Designer, exhibition/display;Oceanographer
Brittany Gomez;Production assistant, radio;Psychotherapist, child
Oscar Murphy;Scientist, research (medical);Pensions consultant
John Compton;Radiographer, therapeutic;Operations geologist
Karen Johnson;Chemist, analytical;Designer, exhibition/display
Linda Gates;Regulatory affairs officer;Therapist, drama
Jessica Perry;Engineer, water;Radio producer
Helen Gregory;Hydrogeologist;Systems analyst
Jose Thompson;Charity fundraiser;Accountant, chartered
Allen Boone;Designer, multimedia;Clinical embryologist
Anthony Mccormick;Warden/ranger;Therapist, horticultural
Derek Caldwell;Jewellery designer;Transport planner
Tina Jones;Hotel manager;Engineer, manufacturing
Sabrina Flores;Theatre director;Logistics and distribution manager
Anne Harper;Journalist, newspaper;Sport and exercise psychologist
Gloria Payne;Solicitor, Scotland;Pension scheme manager
Rebecca Walker;Geochemist;Chartered management accountant
William Oconnor;Telecommunications researcher;Teacher, primary school
Sandra Coffey;Hospital pharmacist;Community arts worker
Mary Hamilton;Advertising account planner;Risk manager
Mrs. Angela Carlson DDS;Designer, fashion/clothing;Games developer
John Olsen;Media buyer;Chief Executive Officer
Willie Anderson;Information officer;Records manager
Sarah Johnson;Risk analyst;Scientist, biomedical
Alex Jackson;Journalist, broadcasting;Logistics and distribution manager
Jason Adams;Politician's assistant;Chief Strategy Officer
Nicole Nguyen;Civil engineer, contracting;Research officer, government
Miguel Meyer;Furniture conservator/restorer;Forensic scientist
Linda Cline;Health and safety inspector;Editor, magazine features
Jenny Jordan;Geophysicist/field seismologist;Animator
Arthur Miles;Archaeologist;Toxicologist
Chris Cooley;Meteorologist;Environmental manager
Paige Mueller;Museum/gallery curator;Nurse, learning disability
Jeffrey Cruz;Petroleum engineer;Development worker, international aid
Ashley Rodriguez;Television floor manager;Nurse, learning disability
Sonya Patel;Ecologist;Engineer, civil (contracting)
Joshua Rios;Horticulturist, commercial;Interior and spatial designer
Wayne Williamson;Landscape architect;Editor, film/video
Melvin Brown;Animal technologist;Architect
Brett Wilson;Therapist, sports;Insurance underwriter
William Bell;Publishing rights manager;Chartered loss adjuster
Jennifer Graham;Visual merchandiser;Museum/gallery exhibitions officer
Douglas Olsen;Publishing copy;Surveyor, land/geomatics
Wendy Waters;Agricultural engineer;Clinical embryologist
David Clark;Manufacturing systems engineer;Conservation officer, nature
Tyler Gomez;Fish farm manager;Fish farm manager
Wayne Baker;Garment/textile technologist;Theatre director
Scott Sharp;Research scientist (physical sciences);Patent examiner
Megan Rivera;Sales professional, IT;Food technologist
Valerie Hall;Computer games developer;Actor
Jennifer Larson;Prison officer;Chemical engineer
Erin Stokes;Automotive engineer;Psychologist, prison and probation services
Jill Kent;Location manager;Event organiser
Brent Grant;Product designer;Conservation officer, historic buildings
Jenny Stafford;Editorial assistant;Social researcher
Laurie Hill;Special educational needs teacher;Astronomer
